Timestamp (UTC),Transaction Type,Outgoing Asset,Outgoing Amount,Incoming Asset,Incoming Amount,Fee Asset,Fee Amount,Transaction ID,Note
2026-04-17T23:40:29Z,Buy,USDC,18.3702,PM-Cleveland_Guardians-0x2f27d2,32.2284,,,pm-52,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-17T23:40:40Z,Buy,USDC,12.8914,PM-Baltimore_Orioles-0x2f27d2,32.2284,,,pm-53,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-17T23:42:00Z,Buy,USDC,16.8038,PM-Over-0xa49e1c,36.5301,,,pm-54,Hornets vs. Magic: O/U 218.5 | Sonstiges | EUR/USD 0.9200
2026-04-17T23:43:00Z,Buy,USDC,15.475,PM-Magic-0x1132ea,37.7439,,,pm-55,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:43:30Z,Buy,USDC,19.0148,PM-Cleveland_Guardians-0x2f27d2,32.2284,,,pm-56,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-17T23:43:30Z,Buy,USDC,10.253,PM-Milwaukee_Brewers-0x70d72e,24.4119,,,pm-57,Milwaukee Brewers vs. Miami Marlins | Sonstiges | EUR/USD 0.9200
2026-04-17T23:43:30Z,Buy,USDC,6.3256,PM-Under-0xa49e1c,11.935,,,pm-58,Hornets vs. Magic: O/U 218.5 | Sonstiges | EUR/USD 0.9200
2026-04-17T23:45:30Z,Buy,USDC,12.2468,PM-Baltimore_Orioles-0x2f27d2,32.2284,,,pm-59,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-17T23:45:50Z,Buy,USDC,30,PM-No-0xceb6df,51.7241,,,pm-60,"US x Iran permanent peace deal by April 30, 2026? | Geopolitik | EUR/USD 0.9200"
2026-04-17T23:47:20Z,Buy,USDC,20.0043,PM-Hornets-0x1132ea,37.7439,,,pm-61,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:49:00Z,Buy,USDC,30,PM-No-0xbbc668,43.4783,,,pm-62,"US x Iran permanent peace deal by April 22, 2026? | Geopolitik | EUR/USD 0.9200"
2026-04-17T23:49:19Z,Buy,USDC,30,PM-No-0xceb6df,53.5669,,,pm-63,"US x Iran permanent peace deal by April 30, 2026? | Geopolitik | EUR/USD 0.9200"
2026-04-17T23:49:30Z,Buy,USDC,14.9305,PM-Over-0xa38e2e,43.9133,,,pm-64,CA Unión vs. CA Newell's Old Boys: O/U 4.5 | Sonstiges | EUR/USD 0.9200
2026-04-17T23:49:30Z,Buy,USDC,7.5171,PM-Yes-0x059f77,12.9606,,,pm-65,Will CA Unión win on 2026-04-17? | Sonstiges | EUR/USD 0.9200
2026-04-17T23:49:30Z,Buy,USDC,19.6268,PM-Hornets-0x1132ea,37.7439,,,pm-66,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:52:20Z,Buy,USDC,5.4,PM-Hornets-0xaef203,15,,,pm-67,Spread: Hornets (-3.5) | Sonstiges | EUR/USD 0.9200
2026-04-17T23:53:10Z,Buy,USDC,15.475,PM-Hornets-0x1132ea,37.7439,,,pm-68,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:54:10Z,Buy,USDC,8.7623,PM-No-0x059f77,21.9057,,,pm-69,Will CA Unión win on 2026-04-17? | Sonstiges | EUR/USD 0.9200
2026-04-17T23:54:40Z,Buy,USDC,12.1778,PM-Hornets-0x1132ea,27.0618,,,pm-70,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:54:50Z,Buy,USDC,18.4945,PM-Magic-0x1132ea,37.7439,,,pm-71,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:54:50Z,Buy,USDC,18.6925,PM-Cleveland_Guardians-0x2f27d2,32.2284,,,pm-72,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-17T23:56:10Z,Buy,USDC,21.1366,PM-Magic-0x1132ea,37.7439,,,pm-73,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:56:20Z,Buy,USDC,17.9596,PM-Magic-0xaef203,27.2116,,,pm-74,Spread: Hornets (-3.5) | Sonstiges | EUR/USD 0.9200
2026-04-17T23:57:40Z,Buy,USDC,9.45,PM-Hornets-0x1132ea,26.25,,,pm-75,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:57:40Z,Buy,USDC,14.1805,PM-Baltimore_Orioles-0x2f27d2,32.2284,,,pm-76,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-17T23:58:10Z,Buy,USDC,30,PM-Matias_Soto-0x1f398f,69.7674,,,pm-77,Santa Cruz: Matias Soto vs Juan Carlos Prado | Sport | EUR/USD 0.9200
2026-04-17T23:58:30Z,Buy,USDC,9.4107,PM-Magic-0x1132ea,14.2587,,,pm-78,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-17T23:59:00Z,Buy,USDC,11.7006,PM-Hornets-0x1132ea,37.7439,,,pm-79,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-18T00:09:50Z,Buy,USDC,12.4491,PM-Under-0xa49e1c,25.9356,,,pm-80,Hornets vs. Magic: O/U 218.5 | Sonstiges | EUR/USD 0.9200
2026-04-18T00:10:20Z,Buy,USDC,5.4147,PM-Kansas_City_Royals-0xe39812,31.8513,,,pm-81,Kansas City Royals vs. New York Yankees | Sonstiges | EUR/USD 0.9200
2026-04-18T00:10:20Z,Buy,USDC,16.6089,PM-Miami_Marlins-0x70d72e,31.9401,,,pm-82,Milwaukee Brewers vs. Miami Marlins | Sonstiges | EUR/USD 0.9200
2026-04-18T00:11:00Z,Buy,USDC,7.1713,PM-Hornets-0x1132ea,37.7439,,,pm-83,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-18T00:11:30Z,Buy,USDC,24.282,PM-Baltimore_Orioles-0x2f27d2,63.9,,,pm-84,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-18T00:12:20Z,Buy,USDC,5.6616,PM-Hornets-0x1132ea,37.7439,,,pm-85,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
2026-04-18T00:14:10Z,Buy,USDC,12.7568,PM-Over-0xa49e1c,27.1422,,,pm-86,Hornets vs. Magic: O/U 218.5 | Sonstiges | EUR/USD 0.9200
2026-04-18T00:15:20Z,Buy,USDC,18.0479,PM-Cleveland_Guardians-0x2f27d2,32.2284,,,pm-87,Baltimore Orioles vs. Cleveland Guardians | Sonstiges | EUR/USD 0.9200
2026-04-18T00:24:30Z,Buy,USDC,6.5709,PM-New_York_Yankees-0x6976de,13.41,,,pm-88,Spread: New York Yankees (-2.5) | Sonstiges | EUR/USD 0.9200
2026-04-18T00:25:00Z,Buy,USDC,8.4775,PM-Clement_Tabur-0xff0931,11.025,,,pm-89,Tallahassee: Clement Tabur vs Tyler Zink | Sport | EUR/USD 0.9200
2026-04-18T00:25:10Z,Buy,USDC,5.6616,PM-Hornets-0x1132ea,37.7439,,,pm-90,Hornets vs. Magic | Sonstiges | EUR/USD 0.9200
